Workaholic,Lifestyle,Learning,Product
6.426,4.41,1.764,A
6.174,3.78,1.764,A
5.922,4.032,1.638,A
5.796,3.906,1.89,A
6.3,4.536,1.764,A
6.804,4.914,2.142,A
5.796,4.284,1.764,A
6.3,4.284,1.89,A
5.544,3.654,1.764,A
6.174,3.906,1.89,A
6.804,4.662,1.89,A
6.048,4.284,2.016,A
6.048,3.78,1.764,A
5.418,3.78,1.386,A
7.308,5.04,1.512,A
7.182,5.544,1.89,A
6.804,4.914,1.638,A
6.426,4.41,1.764,A
7.182,4.788,2.142,A
6.426,4.788,1.89,A
6.804,4.284,2.142,A
6.426,4.662,1.89,A
5.796,4.536,1.26,A
6.426,4.158,2.142,A
6.048,4.284,2.394,A
6.3,3.78,2.016,A
6.3,4.284,2.016,A
6.552,4.41,1.89,A
6.552,4.284,1.764,A
5.922,4.032,2.016,A
6.048,3.906,2.016,A
6.804,4.284,1.89,A
6.552,5.166,1.89,A
6.93,5.292,1.764,A
6.174,3.906,1.89,A
6.3,4.032,1.512,A
6.93,4.41,1.638,A
6.174,4.536,1.764,A
5.544,3.78,1.638,A
6.426,4.284,1.89,A
6.3,4.41,1.638,A
5.67,2.898,1.638,A
5.544,4.032,1.638,A
6.3,4.41,2.016,A
6.426,4.788,2.394,A
6.048,3.78,1.764,A
6.426,4.788,2.016,A
5.796,4.032,1.764,A
6.678,4.662,1.89,A
6.3,4.158,1.764,A
8.82,4.032,5.922,B
8.064,4.032,5.67,B
8.694,3.906,6.174,B
6.93,2.898,5.04,B
8.19,3.528,5.796,B
7.182,3.528,5.67,B
7.938,4.158,5.922,B
6.174,3.024,4.158,B
8.316,3.654,5.796,B
6.552,3.402,4.914,B
6.3,2.52,4.41,B
7.434,3.78,5.292,B
7.56,2.772,5.04,B
7.686,3.654,5.922,B
7.056,3.654,4.536,B
8.442,3.906,5.544,B
7.056,3.78,5.67,B
7.308,3.402,5.166,B
7.812,2.772,5.67,B
7.056,3.15,4.914,B
7.434,4.032,6.048,B
7.686,3.528,5.04,B
7.938,3.15,6.174,B
7.686,3.528,5.922,B
8.064,3.654,5.418,B
8.316,3.78,5.544,B
8.568,3.528,6.048,B
8.442,3.78,6.3,B
7.56,3.654,5.67,B
7.182,3.276,4.41,B
6.93,3.024,4.788,B
6.93,3.024,4.662,B
7.308,3.402,4.914,B
7.56,3.402,6.426,B
6.804,3.78,5.67,B
7.56,4.284,5.67,B
8.442,3.906,5.922,B
7.938,2.898,5.544,B
7.056,3.78,5.166,B
6.93,3.15,5.04,B
6.93,3.276,5.544,B
7.686,3.78,5.796,B
7.308,3.276,5.04,B
6.3,2.898,4.158,B
7.056,3.402,5.292,B
7.182,3.78,5.292,B
7.182,3.654,5.292,B
7.812,3.654,5.418,B
6.426,3.15,3.78,B
7.182,3.528,5.166,B
7.938,4.158,7.56,C
7.308,3.402,6.426,C
8.946,3.78,7.434,C
7.938,3.654,7.056,C
8.19,3.78,7.308,C
9.576,3.78,8.316,C
6.174,3.15,5.67,C
9.198,3.654,7.938,C
8.442,3.15,7.308,C
9.072,4.536,7.686,C
8.19,4.032,6.426,C
8.064,3.402,6.678,C
8.568,3.78,6.93,C
7.182,3.15,6.3,C
7.308,3.528,6.426,C
8.064,4.032,6.678,C
8.19,3.78,6.93,C
9.702,4.788,8.442,C
9.702,3.276,8.694,C
7.56,2.772,6.3,C
8.694,4.032,7.182,C
7.056,3.528,6.174,C
9.702,3.528,8.442,C
7.938,3.402,6.174,C
8.442,4.158,7.182,C
9.072,4.032,7.56,C
7.812,3.528,6.048,C
7.686,3.78,6.174,C
8.064,3.528,7.056,C
9.072,3.78,7.308,C
9.324,3.528,7.686,C
9.954,4.788,8.064,C
8.064,3.528,7.056,C
7.938,3.528,6.426,C
7.686,3.276,7.056,C
9.702,3.78,7.686,C
7.938,4.284,7.056,C
8.064,3.906,6.93,C
7.56,3.78,6.048,C
8.694,3.906,6.804,C
8.442,3.906,7.056,C
8.694,3.906,6.426,C
7.308,3.402,6.426,C
8.568,4.032,7.434,C
8.442,4.158,7.182,C
8.442,3.78,6.552,C
7.938,3.15,6.3,C
8.19,3.78,6.552,C
7.812,4.284,6.804,C
7.434,3.78,6.426,C
